Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
geometry,/usr/local/lib/R/site-library,0.4.3,NA,R (>= 3.0.0),"magic, Rcpp, lpSolve, linprog","Rcpp, RcppProgress","spelling, testthat, rgl, R.matlab, tripack",NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.1
geoR,/usr/local/lib/R/site-library,1.7-5.2.1,NA,"R (>= 2.10), stats, methods","MASS, sp, splancs, RandomFields, graphics",NA,"scatterplot3d, lattice, tcltk, geoRglm",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
geoRglm,/usr/local/lib/R/site-library,0.9-11,NA,"R (>= 3.0.0), geoR (>= 1.7-5), stats",sp,NA,coda,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
geosphere,/usr/local/lib/R/site-library,1.5-10,NA,R (>= 3.0.0),sp,NA,"methods, raster",NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.1
getopt,/usr/local/lib/R/site-library,1.20.3,NA,NA,stats,NA,"covr, testthat",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
getPass,/usr/local/lib/R/site-library,0.2-2,NA,R (>= 3.0.0),"utils, rstudioapi (>= 0.5)",NA,argon2,NA,BSD 2-clause License + file LICENSE,NA,NA,NA,NA,yes,3.6.1
GGally,/usr/local/lib/R/site-library,1.4.0,NA,"R (>= 3.1), ggplot2 (> 2.2.0)","grDevices, grid, gtable (>= 0.2.0), plyr (>= 1.8.3), progress,
RColorBrewer, reshape (>= 0.8.5), utils, rlang",NA,"broom (>= 0.4.0), chemometrics, geosphere (>= 1.5-1), igraph
(>= 1.0.1), intergraph (>= 2.0-2), maps (>= 3.1.0), mapproj,
network (>= 1.12.0), scagnostics, scales (>= 0.4.0), sna (>=
2.3-2), survival, packagedocs (>= 0.4.0), rmarkdown, roxygen2,
testthat, crosstalk",NA,GPL (>= 2.0),NA,NA,NA,NA,no,3.6.1
ggdendro,/usr/local/lib/R/site-library,0.1-20,NA,NA,"MASS, ggplot2(>= 0.9.2)",NA,"rpart(>= 4.0-0), tree, testthat, knitr, cluster, scales",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
ggfittext,/usr/local/lib/R/site-library,0.8.1,NA,R (>= 3.2.3),"grid (>= 3.1), stringi (>= 1.1.2), ggplot2 (>= 2.2.1), shades
(>= 1.3.1)",NA,"knitr, rmarkdown, testthat, vdiffr, spelling",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
ggformula,/usr/local/lib/R/site-library,0.9.1,NA,"R (>= 3.1), ggplot2 (>= 3.0), ggstance (>= 0.3.1)","mosaicCore, rlang, magrittr, tibble, stringr, tidyr, grid",NA,"mosaicData, dplyr, lattice, mosaic, mosaicModel, testthat,
vdiffr, knitr, rmarkdown, lubridate, survival, broom, scales,
maps, maptools, rgeos, sf, purrr, ggthemes",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
ggfortify,/usr/local/lib/R/site-library,0.4.7,NA,"methods, ggplot2 (>= 2.0.0)","dplyr (>= 0.3), tidyr, gridExtra, grid, scales, stringr,
tibble",NA,"testthat, cluster, changepoint, dlm, fGarch, forecast,
ggrepel, glmnet, grDevices, KFAS, knitr, lintr, mapdata, MASS,
MSwM, nlme, raster, ROCR, sp, stats, strucchange, survival,
timeSeries, tseries, utils, vars, xts, zoo, lfda",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
ggmap,/usr/local/lib/R/site-library,3.0.0,NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","RgoogleMaps, png, plyr, rjson, jpeg, digest, scales, dplyr,
bitops, grid, glue, httr, stringr, purrr, magrittr, tibble,
tidyr",NA,"MASS, hexbin, testthat",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
ggplot2,/usr/local/lib/R/site-library,3.2.1,NA,R (>= 3.2),"digest, grDevices, grid, gtable (>= 0.1.1), lazyeval, MASS,
mgcv, reshape2, rlang (>= 0.3.0), scales (>= 0.5.0), stats,
tibble, viridisLite, withr (>= 2.0.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, rgeos, rmarkdown, rpart, sf (>= 0.7-3), svglite (>=
1.2.0.9001), testthat (>= 0.11.0), vdiffr (>= 0.3.0)",sp,GPL-2 | file LICENSE,NA,NA,NA,NA,no,3.6.1
ggrepel,/usr/local/lib/R/site-library,0.8.1,NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, scales (>= 0.3.0)",Rcpp,"knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.6.1
ggridges,/usr/local/lib/R/site-library,0.5.1,NA,R (>= 3.2),"ggplot2 (>= 2.2.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",NA,"covr, dplyr, gridExtra, ggplot2movies, DAAG, forcats, knitr,
rmarkdown, testthat, vdiffr, viridis",NA,GPL-2 | file LICENSE,NA,NA,NA,NA,no,3.6.1
ggstance,/usr/local/lib/R/site-library,0.3.3,NA,R (>= 3.1.0),"ggplot2 (>= 3.2.0), plyr, rlang, withr (>= 2.0.0)",NA,"Hmisc, testthat, vdiffr (>= 0.3.0)",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
ggthemes,/usr/local/lib/R/site-library,4.2.0,NA,R (>= 3.3.0),"ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, rlang, rmarkdown, spelling, testthat, tidyr,
vdiffr, withr",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
gh,/usr/local/lib/R/site-library,1.0.1,NA,NA,"ini, jsonlite, httr",NA,"covr, pingr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
git2r,/usr/local/lib/R/site-library,0.26.1,NA,R (>= 3.1),"graphics, utils",NA,getPass,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
glmmML,/usr/local/lib/R/site-library,1.1.0,NA,R (>= 2.13.0),NA,NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.1
glmmTMB,/usr/local/lib/R/site-library,0.2.3,NA,R (>= 3.2.0),"methods, TMB (>= 1.7.13), lme4 (>= 1.1-18.9000), Matrix, nlme","TMB, RcppEigen","knitr, rmarkdown, testthat, MASS, lattice, ggplot2 (>=
2.2.1), mlmRev, bbmle (>= 1.0.19), pscl, coda, reshape2, car,
emmeans, estimability, DHARMa, multcomp, MuMIn, effects,
dotwhisker, broom, plyr, png, boot",NA,AGPL-3,NA,NA,NA,NA,yes,3.6.1
glmnet,/usr/local/lib/R/site-library,2.0-18,NA,"Matrix (>= 1.0-6), utils, foreach",methods,NA,"survival, knitr, lars",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
glue,/usr/local/lib/R/site-library,1.3.1,NA,R (>= 3.1),methods,NA,"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI,
RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr,
ggplot2, dplyr, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
gmailr,/usr/local/lib/R/site-library,1.0.0,NA,R (>= 3.0.0),"base64enc, crayon, gargle, httr, jsonlite, lifecycle,
magrittr, mime, rematch2",NA,"covr, knitr, methods, sodium, rmarkdown, testthat, xml2",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
gmm,/usr/local/lib/R/site-library,1.6-2,NA,"R (>= 2.10.0), sandwich","stats, methods, grDevices, graphics",NA,"mvtnorm, car, stabledist, MASS, timeDate, timeSeries",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
gmodels,/usr/local/lib/R/site-library,2.18.1,NA,R (>= 1.9.0),"MASS, gdata",NA,"gplots, gtools, Matrix, nlme, lme4 (>= 0.999999-0)",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
gmp,/usr/local/lib/R/site-library,0.5-13.5,NA,R (>= 3.0.0),methods,NA,Rmpfr,NA,GPL,NA,NA,NA,NA,yes,3.6.1
gnm,/usr/local/lib/R/site-library,1.1-0,NA,R (>= 3.0.0),"graphics, grDevices, MASS, Matrix, methods, nnet, qvcalc (>=
0.8-3), relimp, stats, utils",NA,vcdExtra,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
gof,/usr/local/lib/R/site-library,0.9.1,NA,R (>= 2.15),NA,NA,"numDeriv, survival, lava (>= 1.2.5)",NA,GPL,NA,NA,NA,NA,yes,3.6.1
goftest,/usr/local/lib/R/site-library,1.1-1,NA,R (>= 3.3),stats,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
googledrive,/usr/local/lib/R/site-library,1.0.0,NA,R (>= 3.2),"curl (>= 2.8.1), gargle (>= 0.3.1), glue (>= 1.2.0), httr,
jsonlite, magrittr, purrr (>= 0.2.3), rlang (>= 0.3.1), tibble
(>= 2.0.0), utils, uuid",NA,"covr, dplyr, knitr, rmarkdown, roxygen2, sodium, testthat (>=
2.1.1)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
googleVis,/usr/local/lib/R/site-library,0.6.4,NA,R (>= 3.0.2),"methods, jsonlite, utils",NA,"shiny (>= 0.4.0), httpuv (>= 1.2.0), knitr (>= 1.5), wbstats,
data.table",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
gower,/usr/local/lib/R/site-library,0.2.1,NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
GPArotation,/usr/local/lib/R/site-library,2014.11-1,NA,R (>= 2.0.0),NA,NA,NA,NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,no,3.6.1
gpclib,/usr/local/lib/R/site-library,1.5-5,NA,"R (>= 2.14.0), methods",graphics,NA,NA,NA,file LICENSE,NA,yes,NA,NA,yes,3.6.1
gplots,/usr/local/lib/R/site-library,3.0.1.1,NA,R (>= 3.0),"gtools, gdata, stats, caTools, KernSmooth",NA,"grid, MASS",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
gridBase,/usr/local/lib/R/site-library,0.4-7,NA,R (>= 2.3.0),"graphics, grid",NA,lattice,NA,GPL,NA,NA,NA,NA,no,3.6.1
gridExtra,/usr/local/lib/R/site-library,2.3,NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
gsl,/usr/local/lib/R/site-library,1.9-10.3,NA,R (>= 2.10.0),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
gtable,/usr/local/lib/R/site-library,0.3.0,NA,R (>= 3.0),grid,NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
gtools,/usr/local/lib/R/site-library,3.8.1,NA,"methods, stats, utils",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
haven,/usr/local/lib/R/site-library,2.1.1,NA,R (>= 3.2),"forcats (>= 0.2.0), hms, Rcpp (>= 0.11.4), readr (>= 0.1.0),
tibble",Rcpp,"covr, fs, knitr, rmarkdown, testthat, pillar (>= 1.1.1), cli,
crayon",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
heplots,/usr/local/lib/R/site-library,1.3-5,NA,"R (>= 2.10), car","MASS, graphics, grDevices, stats, utils",NA,"rgl, candisc, effects, reshape, gplots, nlme, lattice,
reshape2, corrgram, FRB, animation, mvinfluence",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
here,/usr/local/lib/R/site-library,0.1,NA,NA,rprojroot (>= 1.2),NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.6.2
highr,/usr/local/lib/R/site-library,0.8,NA,R (>= 3.2.3),NA,NA,"knitr, testit",NA,GPL,NA,NA,NA,NA,no,3.6.1
Hmisc,/usr/local/lib/R/site-library,4.2-0,NA,"lattice, survival (>= 2.40-1), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, acepack, foreign,
gtable, grid, gridExtra, data.table, htmlTable (>= 1.11.0),
viridis, htmltools, base64enc",NA,"chron, rms, mice, tables, knitr, ff, ffbase, plotly (>=
4.5.6), rlang",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
hms,/usr/local/lib/R/site-library,0.5.1,NA,NA,"methods, pkgconfig, rlang, vctrs (>= 0.2.0)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
HMSC,/usr/local/lib/R/site-library,2.0-10,NA,"R (>= 2.10), MASS, coda, Rcpp (>= 0.12.3), RcppArmadillo",NA,"Rcpp, RcppArmadillo","circlize, beanplot, corrplot",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.1
hoardr,/usr/local/lib/R/site-library,0.5.2,NA,NA,"R6 (>= 2.2.0), rappdirs (>= 0.3.1), digest",NA,"roxygen2 (>= 6.0.1), testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
HSAUR,/usr/local/lib/R/site-library,1.3-9,NA,"R (>= 2.2.0), tools",NA,NA,"lattice, MASS, scatterplot3d (>= 0.3-23), ape (>= 1.6), coin
(>= 1.1-3), flexmix (>= 1.1-0), gee (>= 4.13-10), lme4 (>=
0.98-1), mclust (>= 3.0-0), party (>= 0.2-8), randomForest (>=
4.5-12), rmeta (>= 2.12), vcd (>= 0.9-3), survival, KernSmooth,
rpart, mvtnorm, Matrix, boot, TH.data",NA,GPL,NA,NA,NA,NA,no,3.6.1
HSAUR3,/usr/local/lib/R/site-library,1.0-9,NA,"R (>= 3.0.0), tools",NA,NA,"boot (>= 1.3-9), lattice (>= 0.20-23), MASS (>= 7.3-29), mgcv
(>= 1.7-27), rpart (>= 4.1-4), survival (>= 2.37-4), alr3 (>=
2.0.5), ape (>= 3.0-11), coin (>= 1.1-3), flexmix (>= 2.3-11),
Formula (>= 1.1-1), gamair (>= 0.0.8), gamlss.data (>= 4.2.6),
gee (>= 4.13-18), KernSmooth (>= 2.23-10), lme4 (>= 1.0-5),
maps (>= 2.3-6), maptools (>= 0.8-27), mboost (>= 2.2-3),
mclust (>= 4.2), mlbench (>= 2.1-1), mice (>= 2.18), multcomp
(>= 1.3-1), mvtnorm (>= 0.9-9996), partykit (>= 0.8-0),
quantreg (>= 5.05), randomForest (>= 4.6-7), rmeta (>= 2.16),
sandwich (>= 2.3-0), scatterplot3d (>= 0.3-34), sp (>= 1.0-14),
TH.data (>= 1.0-2), vcd (>= 1.3-1), wordcloud (>= 2.4)",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
htmlTable,/usr/local/lib/R/site-library,1.13.1,NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xtable, ztable, Hmisc, reshape, rmarkdown,
pander, chron, lubridate, tibble, tidyr (>= 0.7.2), dplyr (>=
0.7.4)",NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.1
htmltools,/usr/local/lib/R/site-library,0.3.6,NA,R (>= 2.14.1),"utils, digest, Rcpp",Rcpp,"markdown, testthat",knitr,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
htmlwidgets,/usr/local/lib/R/site-library,1.3,NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,knitr (>= 1.8),shiny (>= 1.1),MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
httpcode,/usr/local/lib/R/site-library,0.2.0,NA,NA,NA,NA,NA,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
httpuv,/usr/local/lib/R/site-library,1.5.1,NA,R (>= 2.15.1),"Rcpp (>= 0.11.0), utils, R6, promises, later (>= 0.8.0)","Rcpp, BH, later","testthat, callr, curl",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,yes,3.6.1
httr,/usr/local/lib/R/site-library,1.4.1,NA,R (>= 3.2),"curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
huge,/usr/local/lib/R/site-library,1.3.2,NA,R (>= 3.0.0),"Matrix, igraph, MASS, grDevices, graphics, methods, stats,
utils, Rcpp","Rcpp, RcppEigen",NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
hunspell,/usr/local/lib/R/site-library,3.0,NA,R (>= 3.0.2),"Rcpp, digest",Rcpp (>= 0.12.12),"spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
stopwords, rmarkdown",NA,GPL-2 | LGPL-2.1 | MPL-1.1,NA,NA,NA,NA,yes,3.6.1
hwriter,/usr/local/lib/R/site-library,1.3.2,NA,R (>= 2.6.0),NA,NA,NA,NA,LGPL-2.1,NA,NA,NA,NA,no,3.6.1
igraph,/usr/local/lib/R/site-library,1.2.4.1,NA,methods,"graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",NA,"ape, digest, graph, igraphdata, rgl, scales, stats4, tcltk,
testthat",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
IHW,/usr/local/lib/R/site-library,1.12.0,NA,R (>= 3.3.0),"methods, slam, lpsymphony, fdrtool, BiocGenerics",NA,"ggplot2, dplyr, gridExtra, scales, DESeq2, airway, testthat,
Matrix, BiocStyle, knitr, rmarkdown, devtools",NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.1
ineq,/usr/local/lib/R/site-library,0.2-13,NA,R (>= 2.10.0),"stats, graphics, grDevices",NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
ini,/usr/local/lib/R/site-library,0.3.1,NA,NA,NA,NA,testthat,NA,GPL-3,NA,NA,NA,NA,no,3.6.1
inline,/usr/local/lib/R/site-library,0.3.15,NA,R (>= 2.4.0),methods,NA,Rcpp (>= 0.11.0),NA,LGPL,NA,NA,NA,NA,no,3.6.1
intervals,/usr/local/lib/R/site-library,0.15.1,NA,R (>= 2.9.0),"utils, graphics, methods",NA,NA,NA,Artistic-2.0,NA,NA,NA,NA,yes,3.6.1
inum,/usr/local/lib/R/site-library,1.0-1,NA,R (>= 3.3.0),"stats, libcoin (>= 1.0-0)",NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
ipred,/usr/local/lib/R/site-library,0.9-9,NA,R (>= 2.10),"rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
IRanges,/usr/local/lib/R/site-library,2.18.2,NA,"R (>= 3.1.0), methods, utils, stats, BiocGenerics (>= 0.25.3),
S4Vectors (>= 0.21.9)",stats4,S4Vectors,"XVector, GenomicRanges, Rsamtools, GenomicAlignments,
GenomicFeatures, BSgenome.Celegans.UCSC.ce2, pasillaBamSubset,
RUnit, BiocStyle",NA,Artistic-2.0,NA,NA,NA,NA,yes,3.6.1
irlba,/usr/local/lib/R/site-library,2.3.3,NA,Matrix,"stats, methods",Matrix,NA,NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
isa2,/usr/local/lib/R/site-library,0.3.5,NA,methods,"grDevices, lattice, stats, utils",NA,"igraph (>= 0.5.5), biclust",NA,CC BY-NC-SA 4.0,NA,NA,NA,NA,yes,3.6.1
ISwR,/usr/local/lib/R/site-library,2.0-7,NA,R (>= 2.6.0),NA,NA,"survival,MASS",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
iterators,/usr/local/lib/R/site-library,1.0.12,NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,Apache License (== 2.0),NA,NA,NA,NA,no,3.6.1
itertools,/usr/local/lib/R/site-library,0.1-3,NA,"R (>= 2.14.0), iterators(>= 1.0.0)",parallel,NA,foreach,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
jpeg,/usr/local/lib/R/site-library,0.1-8,NA,R (>= 2.9.0),NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
jsonlite,/usr/local/lib/R/site-library,1.6,NA,methods,NA,NA,"httr, curl, plyr, testthat, knitr, rmarkdown, R.rsp, sp",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
kableExtra,/usr/local/lib/R/site-library,1.1.0,NA,R (>= 3.1.0),"knitr (>= 1.16), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rvest, rmarkdown (>= 1.6.0), readr, scales, viridisLite, stats,
grDevices, htmltools, rstudioapi, glue, tools, webshot, digest",NA,"testthat, magick, formattable, dplyr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
kernlab,/usr/local/lib/R/site-library,0.9-27,NA,R (>= 2.10),"methods, stats, grDevices, graphics",NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
kinship2,/usr/local/lib/R/site-library,1.8.4,NA,"R (>= 3.4.0), Matrix, quadprog","graphics, stats, methods",NA,knitr,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
klaR,/usr/local/lib/R/site-library,0.6-14,NA,"R (>= 2.10.0), MASS","combinat, questionr, grDevices, stats, utils, graphics",NA,"scatterplot3d (>= 0.3-22), som, mlbench, rpart, e1071",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
knitr,/usr/local/lib/R/site-library,1.24,NA,R (>= 3.2.3),"evaluate (>= 0.10), highr, markdown, stringr (>= 0.6), yaml
(>= 2.1.19), methods, xfun, tools",NA,"formatR, testit, digest, rgl (>= 0.95.1201), codetools,
rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice (>= 0.10),
tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1), magick,
png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>= 0.4-1),
showtext, tibble, styler",NA,GPL,NA,NA,NA,NA,no,3.6.1
kutils,/usr/local/lib/R/site-library,1.69,NA,R (>= 3.3.0),"stats, utils, methods, foreign, xtable, lavaan, plyr,
openxlsx, RUnit",NA,rockchalk,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
labeling,/usr/local/lib/R/site-library,0.3,NA,NA,NA,NA,NA,NA,MIT + file LICENSE | Unlimited,NA,NA,NA,NA,no,3.6.1
labelled,/usr/local/lib/R/site-library,2.2.1,NA,NA,"haven (>= 2.1.0), dplyr, stats",NA,"testthat, knitr, rmarkdown, questionr, snakecase",memisc,GPL-3,NA,NA,NA,NA,no,3.6.1
Lahman,/usr/local/lib/R/site-library,7.0-1,NA,R (>= 2.10),dplyr,NA,"lattice, ggplot2, googleVis, data.table, vcd, reshape2,
tidyr, zipcode, knitr, rmarkdown, car",NA,GPL,NA,NA,NA,NA,no,3.6.1
lambda.r,/usr/local/lib/R/site-library,1.2.3,NA,R (>= 3.0.0),formatR,NA,testit,NA,LGPL-3,NA,NA,NA,NA,no,3.6.1
lars,/usr/local/lib/R/site-library,1.2,NA,R (>= 2.10),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
later,/usr/local/lib/R/site-library,0.8.0,NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp, BH","knitr, rmarkdown, testthat",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
latticeExtra,/usr/local/lib/R/site-library,0.6-28,NA,"R (>= 2.10.0), lattice, RColorBrewer","grid, stats, utils, grDevices",NA,"maps, mapproj, deldir, tripack, zoo, MASS, quantreg, mgcv",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
lava,/usr/local/lib/R/site-library,1.6.6,NA,R (>= 3.0),"grDevices, graphics, methods, numDeriv, stats, survival,
SQUAREM, utils",NA,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
foreach, geepack, gof (>= 0.9), graph, igraph (>= 0.6),
lava.tobit (>= 0.4.7), lme4, mets (>= 1.1), nlme, optimx,
polycor, quantreg, rgl, testthat (>= 0.11), visNetwork, zoo",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
lava.tobit,/usr/local/lib/R/site-library,0.5,NA,"lava (>= 1.5), mets (>= 1.2.2), mvtnorm, survival",NA,NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.6.1
lavaan,/usr/local/lib/R/site-library,0.6-4,NA,R(>= 3.4),"methods, stats4, stats, utils, graphics, MASS, mnormt,
pbivnorm, numDeriv",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
lazyeval,/usr/local/lib/R/site-library,0.2.2,NA,R (>= 3.1.0),NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
leaflet,/usr/local/lib/R/site-library,2.0.2,NA,R (>= 3.1.0),"base64enc, crosstalk, htmlwidgets, htmltools, magrittr,
markdown, methods, png, RColorBrewer, raster, scales (>=
1.0.0), sp, stats, viridis (>= 0.5.1)",NA,"knitr, maps, sf, shiny, testit (>= 0.4), rgdal, rgeos, R6,
RJSONIO, purrr, testthat",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
leaps,/usr/local/lib/R/site-library,3.0,NA,,NA,NA,biglm,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
lfe,/usr/local/lib/R/site-library,2.8-3,NA,"R (>= 2.15.2), Matrix (>= 1.1-2)","Formula, xtable, compiler, utils, methods, sandwich, parallel",NA,"knitr, digest, igraph, plm, cubature(>= 2.0.3), numDeriv,
data.table, alpaca",NA,Artistic-2.0,NA,NA,NA,NA,yes,3.6.1
libcoin,/usr/local/lib/R/site-library,1.0-4,NA,R (>= 3.4.0),"stats, mvtnorm",mvtnorm,coin,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
lifecycle,/usr/local/lib/R/site-library,0.1.0,NA,R (>= 3.2),"glue, rlang (>= 0.4.0)",NA,"covr, crayon, knitr, rmarkdown, testthat (>= 2.1.0)",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
likert,/usr/local/lib/R/site-library,1.3.5,NA,"R (>= 3.0),ggplot2,xtable","psych,reshape2,gridExtra,grid,plyr",NA,"devtools,shiny",NA,GPL,NA,NA,NA,NA,no,3.6.1
limma,/usr/local/lib/R/site-library,3.40.6,NA,R (>= 3.6.0),"grDevices, graphics, stats, utils, methods",NA,"affy, AnnotationDbi, BiasedUrn, Biobase, ellipse, GO.db,
gplots, illuminaio, locfit, MASS, org.Hs.eg.db, splines,
statmod (>= 1.2.2), vsn",NA,GPL (>=2),NA,NA,NA,NA,yes,3.6.1
linprog,/usr/local/lib/R/site-library,0.9-2,NA,"R (>= 2.4.0), lpSolve",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.6.1
lintr,/usr/local/lib/R/site-library,1.0.3,NA,R (>= 3.1.1),"rex, crayon, codetools, stringdist, testthat, digest, igraph,
rstudioapi (>= 0.2), httr, jsonlite, knitr, stats, utils",NA,"rmarkdown, mockery",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
listviewer,/usr/local/lib/R/site-library,2.1.0,NA,NA,"htmltools, htmlwidgets, shiny",NA,"jsonlite, miniUI, rstudioapi",reactR,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
